set_id,year,pieces,t1,descr
10012-1,2001,42,Bulk Bricks,Assorted Yellow Plates
10013-1,2001,121,Train,Open Freight Wagon
10014-1,2001,170,Train,Caboose
10015-1,2001,194,Train,Passenger Wagon
10016-1,2001,128,Train,Tanker
10017-1,2001,228,Train,Hopper Wagon
10018-1,2001,1868,Star Wars,Darth Maul
10019-1,2001,1747,Star Wars,Rebel Blockade Runner - UCS
100-2,1966,27,Train,4.5V Motor with Wheels (Large Version)
10020-1,2002,427,Train,"Santa Fe Super Chief, NOT the Limited Edition"
10020-2,2002,433,Train,"Santa Fe Super Chief, Limited Edition"
10021-1,2003,974,Hobby Sets,U.S.S. Constellation
10022-1,2002,410,Train,"Santa Fe Cars - Set II (dining, observation, or sleeping car)"
10023-1,2002,112,Bionicle,Master Builder Set
10024-1,2002,669,Sculptures,Red Baron
10025-1,2002,325,Train,Santa Fe Cars - Set I (mail or baggage car)
10026-1,2002,187,Star Wars,Naboo Starfighter - UCS
10027-1,2003,670,Train,Train Engine Shed
10029-1,2003,468,Discovery,Lunar Lander
10030-1,2002,3115,Star Wars,Imperial Star Destroyer - UCS
10036-1,2002,150,Town,Pizza To Go
10037-1,2002,194,Town,Breezeway Cafe
10039-1,2002,431,Castle,Black Falcon's Fortress
10040-1,2002,914,Pirates,Black Seas Barracuda
10041-1,2003,639,Town,"Main Street, Reissue"
10042-1,2003,35,Seasonal,American Flag
10043-1,2002,1,Bulk Bricks,2x2 Electrical Plate
10044-1,2002,44,Bulk Bricks,Windows and Doors
10045-1,2002,13,Bulk Bricks,Pillars and Beams
10046-1,2002,100,Bulk Bricks,Brown Tiles
10047-1,2002,36,Bulk Bricks,Light Gray Arches
10048-1,2002,61,Bulk Bricks,Small Wheels and Axles
10049-1,2002,31,Bulk Bricks,Large Wheels and Axles
10050-1,2002,34,Bulk Bricks,Gray Fences
10051-1,2002,50,Bulk Bricks,Transparent Bricks
10053-1,2003,44,Bulk Bricks,Black Slopes 33
10054-1,2003,68,Bulk Bricks,Black Slopes 33 3 x 2 and 3 x 4
10055-1,2003,50,Bulk Bricks,Black Slopes 33 3 x 1 and 3 x 3
10056-1,2002,56,Bulk Bricks,White Plates 2 x n
10057-1,2002,56,Bulk Bricks,Black Plates 2 x n
10058-1,2002,56,Bulk Bricks,Red Plates 2 x n
10059-1,2002,56,Bulk Bricks,Dark Green Plates 2 x n
10060-1,2002,56,Bulk Bricks,Light Gray Plates 2 x n
10061-1,2002,84,Bulk Bricks,Black Plates 1 x n
10062-1,2002,84,Bulk Bricks,Red Plates 1 x n
10063-1,2002,84,Bulk Bricks,Dark Green Plates 1 x n
10064-1,2002,84,Bulk Bricks,Light Gray Plates 1 x n
10065-1,2002,84,Bulk Bricks,White Plates 1 x n
10066-1,2002,41,Bulk Bricks,Castle Accessories
10067-1,2002,53,Bulk Bricks,Mini-Fig Headgear
10068-1,2002,39,Seasonal,Santa Claus
10069-1,2002,33,Seasonal,Christmas Tree
10070-1,2002,26,Seasonal,Reindeer
10071-1,2003,25,Seasonal,Mr. Bunny
10072-1,2003,56,Bulk Bricks,TECHNIC Beams
10073-1,2003,130,Bulk Bricks,Bushes
10074-1,2003,68,Bulk Bricks,Cross Axles
10075-1,2002,25,Super Heroes,Spider-Man Action Pack
10076-1,2002,38,Bulk Bricks,TECHNIC Gear Wheels
10077-1,2003,55,Bulk Bricks,TECHNIC Motor
10078-1,2003,1,Bulk Bricks,Train Connection Wire
10079-1,2003,42,Seasonal,Snowman
10080-1,2003,33,Seasonal,Angel
10081-1,2004,70,Clikits,Birthday Pack Heart
10082-1,2004,70,Clikits,Birthday Pack Daisy
10083-1,2004,70,Clikits,Birthday Pack Star
10090-1,2003,54,Seasonal,Turkey
10106-1,2006,107,Seasonal,Snowflake
101-1,1969,1,Train,4.5V Battery Case
10111-1,2001,10,Bulk Bricks,Foliferous Tree
10112-1,2001,25,Bulk Bricks,Bush
10113-1,2001,5,Bulk Bricks,Cypress Trees
10114-1,2001,100,Bulk Bricks,2 x 2 Sand Red Roof Tiles
10115-1,2001,80,Bulk Bricks,Jumper Bricks
10116-1,2004,50,Clikits,Accessories Heart
10117-1,2004,50,Clikits,Accessories Daisy
10118-1,2004,50,Clikits,Accessories Star
10121-1,2003,16,Sports,NBA Basketball Teams
10123-1,2003,707,Star Wars,Cloud City
10124-1,2003,670,Sculptures,Wright Flyer
10127-1,2003,56,Sports,NHL Action Set with Stickers
10128-1,2003,326,Train,Train Level Crossing
10129-1,2003,1455,Star Wars,Rebel Snowspeeder - UCS
101-3,1966,1,Train,4.5V Battery Case
10131-1,2004,688,Star Wars,TIE Fighter Collection
10132-1,2004,693,Harry Potter,Motorized Hogwarts Express
10133-1,2004,400,Train,Burlington Northern Santa Fe Locomotive
10134-1,2004,1487,Star Wars,Y-wing Attack Starfighter - UCS
10143-1,2005,3460,Star Wars,Death Star II
10144-1,2005,1680,Star Wars,Sandcrawler
10145-1,2004,124,Bulk Bricks,Assorted Light Gray Bricks
10146-1,2004,62,Bulk Bricks,Assorted Dark Gray Bricks
10147-1,2004,62,Bulk Bricks,Assorted Brown Bricks
10148-1,2004,84,Bulk Bricks,Assorted Light Gray Plates
10149-1,2004,42,Bulk Bricks,Assorted Dark Gray Plates
10150-1,2004,42,Bulk Bricks,Assorted Brown Plates
10151-1,2004,420,Model Team,Hot Rod
10152-1,2004,982,Sculptures,Maersk Sealand Container Ship 2004 Edition
10152-2,2005,982,Sculptures,Maersk Sealand Container Ship 2005 Edition
10152-3,2006,982,Sculptures,Maersk Line Container Ship 2006 Edition
10153-1,2002,3,Train,Electric Train Motor 9V (My Own Train)
10155-1,2010,984,Sculptures,Maersk Line Container Ship 2010 Edition
10156-1,2004,105,Town,LEGO Truck
10157-1,2004,134,Train,High Speed Train Locomotive
10158-1,2004,151,Train,High Speed Train Car
10159-1,2004,913,Town,City Airport -- City Logo Box
10159-2,2004,913,Town,City Airport -- Full Size Image Box
10160-1,2004,48,Bulk Bricks,Black Ridge Roof Tiles
10161-1,2004,76,Bulk Bricks,Black Roof Tiles
10162-1,2004,48,Bulk Bricks,Red Ridge Tiles
10163-1,2004,76,Bulk Bricks,Red Roof Tiles
10165-1,2004,27,Seasonal,Elf Boy
10166-1,2004,31,Seasonal,Elf Girl
10167-1,2004,182,Other,Brickmaster Kit (with Digital Designer CD)
10168-1,2005,63,Seasonal,Mrs. Bunny
10169-1,2005,58,Seasonal,Chicken & Chicks
10170-1,2005,365,Train,TTX Intermodal Double-Stack Car
10173-1,2006,969,Train,Holiday Train
10174-1,2006,1069,Star Wars,Imperial AT-ST - UCS
10175-1,2006,1211,Star Wars,Vader's TIE Advanced - UCS
10176-1,2006,871,Castle,Royal King's Castle
10177-1,2006,1196,Sculptures,Boeing 787 Dreamliner
10178-1,2007,1137,Star Wars,Motorized Walking AT-AT
10179-1,2007,5195,Star Wars,Millennium Falcon - UCS
10181-1,2007,3428,Sculptures,Eiffel Tower 1:300 Scale
10182-1,2007,2058,Modular Buildings,Cafe Corner
10183-1,2007,1080,Factory,Hobby Train
10184-1,2008,1985,Town,Town Plan
10185-1,2008,2341,Modular Buildings,Green Grocer
10186-1,2008,1084,Star Wars,General Grievous
10187-1,2008,1625,Sculptures,Volkswagen Beetle (VW Beetle)
10188-1,2008,3807,Star Wars,Death Star
10189-1,2008,5922,Sculptures,Taj Mahal
10190-1,2007,1250,Modular Buildings,Market Street
10191-1,2008,884,Factory,Star Justice
10192-1,2008,956,Factory,Space Skulls
10193-1,2009,1616,Castle,Medieval Market Village
10194-1,2009,1089,Train,Emerald Night
10195-1,2009,1757,Star Wars,Republic Dropship with AT-OT
10196-1,2009,3222,Sculptures,Grand Carousel
10197-1,2009,2237,Modular Buildings,Fire Brigade
10198-1,2009,1408,Star Wars,Tantive IV
10199-1,2009,812,Seasonal,Winter Toy Shop
10月2日,1976,129,Universal Building Set,Universal Building Set
10200-1,2008,877,Factory,Custom Car Garage
10201-1,2003,3,Bionicle,Takutanuva
10202-1,2004,6,Bionicle,Ultimate Dume (Limited Edition with Exclusive Mask Of Power)
10202-2,2004,3,Bionicle,Ultimate Dume
10203-1,2005,3,Bionicle,Voporak
10204-1,2006,3,Bionicle,Vezon &amp; Kardas
10205-1,2002,231,Train,Locomotive
102-1,1968,24,Train,4.5V Motor Set
10210-1,2010,1623,Pirates,Imperial Flagship
10211-1,2010,2186,Modular Buildings,Grand Emporium
10212-1,2010,2502,Star Wars,Imperial Shuttle - UCS
10213-1,2010,1203,Sculptures,Shuttle Adventure
10213sup-1,2010,29,Service Packs,Supplemental Pack for Shuttle Adventure Set 10213
10214-1,2010,4287,Sculptures,Tower Bridge
10215-1,2010,675,Star Wars,Obi-Wan's Jedi Starfighter - UCS
10216-1,2010,683,Seasonal,Winter Village Bakery
10217-1,2011,2026,Harry Potter,Diagon Alley
10218-1,2011,2034,Modular Buildings,Pet Shop
10219-1,2011,1232,Train,Maersk Container Train
10220-1,2011,1332,Sculptures,Volkswagen T1 Camper Van
10221-1,2011,3151,Star Wars,Super Star Destroyer
10222-1,2011,821,Seasonal,Winter Village Post Office
10223-1,2012,1574,Castle,Kingdoms Joust
10224-1,2012,2769,Modular Buildings,Town Hall
10225-1,2012,2130,Star Wars,R2-D2
10226-1,2012,878,Sculptures,Sopwith Camel
10227-1,2012,1490,Star Wars,B-wing Starfighter
10228-1,2012,2064,Monster Fighters,Haunted House
10229-1,2012,1490,Seasonal,Winter Village Cottage
10230-1,2012,1357,Modular Buildings,Mini Modulars
10231-1,2011,1229,Sculptures,Shuttle Expedition
10232-1,2013,2193,Modular Buildings,Palace Cinema
10233-1,2013,1349,Train,Horizon Express
10234-1,2013,2988,Sculptures,Sydney Opera House
10235-1,2013,1258,Seasonal,Winter Village Market [Initial Release]
10236-1,2013,2023,Star Wars,Ewok Village
10237-1,2013,2355,The Hobbit and Lord of the Rings,The Tower of Orthanc
10240-1,2013,1496,Star Wars,Red Five X-Wing Starfighter
10241-1,2014,1515,Creator,Maersk Line Triple-E
10242-1,2014,1074,Creator,Mini Cooper
10243-1,2014,2469,Modular Buildings,Parisian Restaurant
10244-1,2014,1744,Creator,Fairground Mixer
10245-1,2014,882,Seasonal,Santa&#039;s Workshop
1024601-1,2001,3,Adventurers,Adventurers Value Pack (TRU Exclusive)
10246-1,2015,2261,Modular Buildings,Detective&#039;s Office
10247-1,2015,2463,Creator,Ferris Wheel
10250-1,2013,243,Creator,Year Of The Snake
10285-1,2011,1,Mindstorms,Compass Sensor for Mindstorms NXT
10287-1,2009,1,Mindstorms,Intelligent NXT Brick (Black)
1029-1,1999,90,Town,Milk Delivery Truck - Tine
102A-1,1970,64,Legoland,Front-End Loader
102A-2,1970,56,Legoland,Front-End Loader
10月3日,1977,8,Service Packs,Locomotive Wheels
1030-1,1985,189,Technic,TECHNIC I: Simple Machines Set
103-1,1969,24,Universal Building Set,4.5V Motor Set with Rubber Tracks
1031-1,1983,20,Educational and Dacta,Building Cards - 1030
1032-1,1985,278,Technic,TECHNIC II Set {4.5v}
1033-1,1985,20,Educational and Dacta,Building Cards - 1032
1034-1,1985,1534,Educational and Dacta,Teachers Resource Set
1038-1,1985,120,Technic,ERBIE the Robo-Car
1039-1,1986,39,Technic,Manual Control Set 1
104-1,1970,1,Train,Replacement 4.5V Motor
1045-2,1976,683,Educational and Dacta,Educational LEGO Building Set
1049-1,1985,238,Educational and Dacta,Ships - 247 elements and 1 poster
10500-1,2013,44,Duplo,Horse Stable
10501-1,2013,5,Duplo,Zoo friends
10505-1,2013,83,Duplo,Play House
10506-1,2013,24,Duplo,Train Accessory Set
10507-1,2013,52,Duplo,My First Train Set
10508-1,2013,134,Duplo,Deluxe Train Set
10509-1,2013,16,Duplo,Dusty and Chug
105-1,1984,65,Town,Canada Post Truck
10510-1,2013,40,Duplo,Ripslinger's Air Race
10511-1,2013,48,Duplo,Skipper's Flight School
10512-1,2013,22,Duplo,Jake's Treasure Hunt
10513-1,2013,37,Duplo,Never Land Hideout
10514-1,2013,56,Duplo,Jake's Pirate Ship Bucky
10515-1,2013,39,Duplo,Ariel's Undersea Castle
10517-1,2013,38,Duplo,My First Garden
10518-1,2013,47,Duplo,My First Construction Site
105-2,1973,150,Universal Building Set,Building Set
10521-1,2014,9,Duplo,Baby Calf
10522-1,2014,12,Duplo,Farm Animals
10524-1,2014,29,Duplo,Farm Tractor
10525-1,2014,121,Duplo,Big Farm
10526-1,2014,39,Duplo,Peter Pan's Visit
10527-1,2014,14,Duplo,Ambulance
10528-1,2014,26,Duplo,School Bus
10529-1,2014,16,Duplo,Truck
1053-1,1984,895,Educational and Dacta,Community Buildings
10532-1,2014,39,Duplo,My First Police Set
10538-1,2014,30,Duplo,Fire and Rescue Team
10539-1,2014,36,Duplo,Beach Racing
1054-1,1999,211,Universal Building Set,Stena Line Ferry
10542-1,2014,55,Disney Princess,Sleeping Beauty's Fairy Tale
10543-1,2014,19,Duplo,Superman鈩?Rescue
10544-1,2014,40,Duplo,The Joker Challenge
10545-1,2014,59,Duplo,Batcave Adventure
10546-1,2014,39,Duplo,My First Shop
10552-1,2013,42,Duplo,Creative Cars
10553-1,2013,17,Duplo,Toddler Build and Play Cubes
10554-1,2013,15,Duplo,Toddler Build and Pull Along
10555-1,2013,65,Duplo,Creative Bucket
10557-1,2013,200,Duplo,Giant Tower
10558-1,2013,31,Duplo,Number Train
1056-1,1985,785,Educational and Dacta,Basic School Pack - 773 elements with teacher's manual
10561-1,2013,37,Duplo,Toddler Starter Building Set
10565-1,2014,135,Duplo,LEGO庐 DUPLO庐 Creative Suitcase
10566-1,2014,52,Duplo,Creative Picnic
10567-1,2014,18,Duplo,Toddler Build and Boat Fun
10568-1,2014,16,Duplo,Knight Tournament
10569-1,2014,46,Duplo,Treasure Attack
10570-1,2014,30,Duplo,LEGO庐 DUPLO庐 All-in-One-Gift-Set
10571-1,2014,65,Duplo,All-in-One-Pink-Box-of-Fun
10572-1,2014,65,Duplo,All-in-One-Box-of-Fun
10573-1,2014,25,Duplo,Creative Animals
10574-1,2014,23,Duplo,Creative Ice Cream
10575-1,2014,75,Duplo,Duplo Creative Building Cube
10576-1,2014,9,Duplo,Zoo Care
10577-1,2014,135,Duplo,Big Royal Castle
10579-1,2014,16,Duplo,Clubhouse Caf茅
10580-1,2014,95,Duplo,Deluxe Box of Fun
10581-1,2015,13,Duplo,Forest: Ducks
10582-1,2015,39,Duplo,Forest: Animals
10583-1,2015,30,Duplo,Forest: Fishing Trip
10584-1,2015,102,Duplo,Forest: Park
10585-1,2015,13,Duplo,Mom and Baby
10586-1,2015,11,Duplo,Ice Cream Truck
10587-1,2015,51,Duplo,Caf茅
10589-1,2015,13,Duplo,Rally Car
10590-1,2015,29,Duplo,Airport
10591-1,2015,19,Duplo,Fire Boat
10592-1,2015,26,Duplo,Fire Truck
10593-1,2015,104,Duplo,Fire Station
10594-1,2015,38,Duplo,Sofia the First鈩?Royal Stable
10595-1,2015,87,Duplo,Sofia the First鈩?Royal Castle
10596-1,2015,62,Duplo,Disney Princess鈩?Collection
10597-1,2015,24,Duplo,Mickey & Minnie Birthday Parade
10599-1,2015,46,Duplo,Batman Adventure
10600-1,2015,29,Duplo,Disney 鈥?Pixar Cars鈩?Classic Race
1060-1,1981,30,Educational and Dacta,Road Plates and Signs
10601-1,2015,19,Duplo,Delivery Vehicle
10602-1,2015,37,Duplo,Camping
10603-1,2015,17,Duplo,My First Bus
10604-1,2015,25,Duplo,Jake and the Never Land Pirates Treasure Island
10605-1,2015,16,Duplo,Doc McStuffins Rosie the Ambulance
10606-1,2015,39,Duplo,Doc McStuffins Backyard Clinic
106-1,1985,59,Town,UNICEF Van
1061-1,2000,1,Technic,Single Disk Pack
10615-1,2015,12,Duplo,My First Tractor
10616-1,2015,25,Duplo,My First Playhouse
10617-1,2015,26,Duplo,My First Farm
10618-1,2015,69,Duplo,LEGO庐 DUPLO庐 Creative Building Box
1062-1,1980,158,Educational and Dacta,{Town Vehicles}
10622-1,2015,193,Duplo,Large Creative Box
1063-1,1985,169,Educational and Dacta,Community Workers
1065-1,1985,196,Educational and Dacta,House Accessories - 182 elements
10655-1,2013,197,Creator,Monster Trucks
10656-1,2013,88,Creator,My First LEGO Princess
10657-1,2013,148,Creator,My First LEGO Set
10659-1,2013,152,Creator,Blue Suitcase
10660-1,2013,157,Creator,Pink Suitcase
1066-1,1982,42,Educational and Dacta,36 Little People + Accessories
10661-1,2013,90,Creator,My First LEGO Fire Station
10662-1,2013,607,Creator,LEGO Creative Bucket
10663-1,2013,607,Creator,LEGO Creative Chest
10664-1,2013,1599,Creator,Creative Tower
10665-1,2014,55,Juniors,Spider-Man: Spider-Car Pursuit
10666-1,2014,75,Juniors,Digger
10667-1,2014,157,Juniors,Construction
10668-1,2014,148,Juniors,The Princess Play Castle
10669-1,2014,107,Juniors,Turtle Lair
1067-1,1988,251,Educational and Dacta,Community Vehicles
10671-1,2014,123,Juniors,Fire Emergency
10672-1,2014,148,Juniors,Batman: Defend the Batcave
10673-1,2014,350,Juniors,Race Car Rally
10674-1,2014,305,Juniors,Pony Farm
10675-1,2014,146,Juniors,Police 鈥?The Big Escape
10676-1,2014,479,Juniors,Knights&#039; Castle
10677-1,2015,74,Juniors,Beach Excursion
10679-1,2015,57,Juniors,Pirate Treasure Hunt
10680-1,2015,99,Juniors,Garbage Truck
1068-1,1999,20,Town,Air Patrol
10681-1,2014,599,Creator,Creative Building Cube
10682-1,2014,999,Creator,Creative Suitcase
10683-1,2015,132,Juniors,Road Work Truck
10684-1,2015,132,Juniors,Supermarket Suitcase
10685-1,2015,113,Juniors,Fire Suitcase
10686-1,2015,226,Juniors,Family House
10687-1,2015,137,Juniors,Spider-Man鈩?Hideout
1069-1,1999,22,Town,Speedboat
10692-1,2015,220,Classic,Creative Bricks
10693-1,2015,302,Classic,Creative Supplement
10694-1,2015,302,Classic,Creative Supplement Bright
10695-1,2015,579,Classic,Creative Building Box
10696-1,2015,483,Classic,Medium Creative Brick Box
10697-1,2015,1498,Classic,XXXL Box
10698-1,2015,789,Classic,Large Creative Brick Box
10699-1,2015,1,Classic,Sand Baseplate
10700-1,2015,1,Classic,Green Baseplate
1070-1,1999,20,Town,Stunt Flyer
10701-1,2015,1,Classic,Gray Baseplate
107-1,1976,31,Universal Building Set,4.5V Motor Set
107-2,1985,138,Town,Canada Post Mail Truck
1075-1,1980,256,Educational and Dacta,LEGO People Supplementary Set
1076-1,1999,228,Seasonal,Advent Calendar 1999
1076-10,1999,10,Seasonal,Advent Calendar 1999 (Day  9) Fire Engine
1076-11,1999,5,Seasonal,Advent Calendar 1999 (Day 10) Santa Minifig
1076-12,1999,8,Seasonal,Advent Calendar 1999 (Day 11) Dog
1076-13,1999,9,Seasonal,Advent Calendar 1999 (Day 12) Hippo
1076-14,1999,10,Seasonal,Advent Calendar 1999 (Day 13) Hovercraft
1076-15,1999,8,Seasonal,Advent Calendar 1999 (Day 14) Penguin
1076-16,1999,12,Seasonal,Advent Calendar 1999 (Day 15) Elf
1076-17,1999,10,Seasonal,Advent Calendar 1999 (Day 16) Seaplane
1076-18,1999,10,Seasonal,Advent Calendar 1999 (Day 17) Gentleman
1076-19,1999,10,Seasonal,Advent Calendar 1999 (Day 18) Elephant
1076-2,1999,11,Seasonal,Advent Calendar 1999 (Day  1) Plane
1076-20,1999,8,Seasonal,Advent Calendar 1999 (Day 19) Sea Plane
1076-21,1999,10,Seasonal,Advent Calendar 1999 (Day 20) Cow
1076-22,1999,11,Seasonal,Advent Calendar 1999 (Day 21) Police Car
1076-23,1999,12,Seasonal,Advent Calendar 1999 (Day 22) Dog with Red Hat
1076-24,1999,10,Seasonal,Advent Calendar 1999 (Day 23) Police Helicopter
1076-25,1999,11,Seasonal,Advent Calendar 1999 (Day 24) Santa
1076-3,1999,11,Seasonal,Advent Calendar 1999 (Day  2) Snowman
1076-4,1999,7,Seasonal,Advent Calendar 1999 (Day  3) Speedboat
1076-5,1999,8,Seasonal,Advent Calendar 1999 (Day  4) Girl
1076-6,1999,9,Seasonal,Advent Calendar 1999 (Day  5) Sailboat
1076-7,1999,12,Seasonal,Advent Calendar 1999 (Day  6) Reindeer
1076-8,1999,10,Seasonal,Advent Calendar 1999 (Day  7) Plane
1076-9,1999,8,Seasonal,Advent Calendar 1999 (Day  8) Girl
1077-1,1976,170,Educational and Dacta,Supplementary Set
108-1,1976,1,Train,Battery Box
1083-1,1986,106,Educational and Dacta,Supplementary Pack
1088-1,1999,50,Town,Road Burner
1089-1,1985,24,Educational and Dacta,Lego Basic Figures - 24 elements
1090-1,1986,397,Technic,TECHNIC Control I
1092-1,1986,467,Technic,TECHNIC Control II
10937-1,2012,1618,Super Heroes,Arkham Asylum Breakout
1094-1,1999,13,Adventurers,Johnny Thunder
1095-1,1999,24,Aquazone,Super Sub
1096-1,1997,23,Town,Race Buggy
1097-1,1999,18,Town,Res-Q Runner
1098-1,1998,19,Town,Hang Glider
1099-1,1999,24,Ninja,Ninja Blaster
1100-1,2001,110,Town,Sky Pirates
110-1,1977,129,Universal Building Set,Universal Building Set
1101-1,1977,1,Service Packs,Replacement 4.5V Motor
1102-1,1977,4,Service Packs,Motor Bushes
1103-1,1977,1,Service Packs,Battery Box
1103-2,2008,521,Educational and Dacta,DNA Student Set
1104-1,1977,2,Service Packs,Battery Cables (75cm)
1105-1,1977,2,Service Packs,Crawler Tracks
1106-1,1977,2,Service Packs,Battery Tender
1106-2,1999,413,Universal Building Set,Basic Building Set
1107-1,1977,4,Service Packs,Signal and Direction-Change Switch
1108-1,1977,4,Service Packs,Magnetic Couplings
1109-1,1977,4,Service Packs,Magnetic Couplings for Railway Car
1月11日,1981,36,Universal Building Set,Basic Souvenir Box
1110-1,1977,8,Service Packs,Train Wheels
111-1,1977,173,Universal Building Set,Universal Building Set
1111-1,1977,8,Service Packs,Rubber Rims for Locomotive Wheels
111-2,1966,118,Train,Starter Train Set without Motor
1112-1,1977,2,Service Packs,Train Sliding Wheel Blocks
1113-1,1977,5,Service Packs,Motor Frame and Couplers
1114-1,1977,1,Service Packs,Motor Frame
1115-1,1977,1,Service Packs,4.5V Lighting Brick (2 x 2)
1116-1,1977,25,Service Packs,"Chain Links, Small"
1118-1,1977,1,Service Packs,"Boat Weight, Red"
1119-1,1977,6,Service Packs,Locomotive Piston Assemblies
11月2日,1973,31,Minitalia,Small Pre-School Basic Set
1120-1,1977,2,Service Packs,Tires (42 mm)
112-1,1977,200,Universal Building Set,Universal Building Set
1121-1,1977,15,Service Packs,"Propellers, Wheels and Rotor Unit"
112-2,1966,74,Train,Locomotive with Motor
1122-1,1977,3,Service Packs,Hinges
1123-1,1977,8,Service Packs,"Ball and Socket Couplings, Articulated Joint"
1124-1,1977,3,Service Packs,Digger Bucket
1125-1,1977,3,Service Packs,Crane Grab
1126-1,1983,1,Service Packs,"Jack Complete Assembly, Blue"
1127-1,1999,39,Seasonal,Santa
1128-1,1997,21,Seasonal,Santa on Skis
1129-1,1980,1,Universal Building Set,Storage Cloth (Spread Bag)
1129-2,1999,34,Seasonal,Santa on Reindeer
11月3日,1977,8,Service Packs,Locomotive Traction Tires
1130-1,1980,1,Service Packs,Storage Folder for Building Instructions (16 Internal Pockets)
113-1,1977,293,Universal Building Set,Universal Building Set
1131-1,1981,4,Service Packs,Tires (42 mm) and Hubs
113-2,1966,344,Train,Motorized Train Set
1132-1,1981,8,Service Packs,Hinges
1133-1,1981,8,Service Packs,Brick Hinges
1134-1,1981,2,Service Packs,Battery Wagon
1135-1,1981,13,Service Packs,"Battery Cable Kit: 12 Connectors, 3m Cable"
1135-2,1981,17,Service Packs,"Battery Cable Kit: 16 Connectors, 3m Cable"
1135-3,1981,21,Service Packs,"Battery Cable Kit: 20 Connectors, 3m Cable"
1136-1,1981,6,Service Packs,"Buffers, Magnetic Couplers"
1137-1,1981,4,Service Packs,Train Couplings
1138-1,1981,8,Service Packs,Replacement Rubber Wheel Treads for Trains
1139-1,1981,5,Service Packs,Motor-Mount Plate with Magnetic Couplers
1140-1,1981,2,Service Packs,12V Light Bricks
114-1,1977,390,Universal Building Set,Universal Building Set
1141-1,1981,2,Service Packs,Wheel Bricks with Small Red Train Wheels
114-2,1966,88,Train,Small Train Set
1142-1,1981,2,Service Packs,Wheel Bricks with Small Black Train-Wheels
1143-1,1981,2,Service Packs,Wheel Bricks with Large Red Train Wheels
1144-1,1981,1,Service Packs,Train Baseplate
1145-1,1981,1,Service Packs,Bogie Plate
1146-1,1981,6,Service Packs,"Pushrods, Cylinder Housings"
1147-1,1981,7,Service Packs,"Light Prisms & Holder, Red/Yellow Light Covers"
1148-1,1981,5,Service Packs,Differential
1149-1,2002,24,Town,Air Police
1149-2,1982,52,Service Packs,Bulldozer Chainlinks
1150-1,1977,1,Service Packs,Replacement Motor 12V
115-1,1973,190,Universal Building Set,Building Set
1151-1,1977,2,Service Packs,Train Power Pick-Up Blocks
115-2,1966,132,Train,Starter Train Set with Motor
1152-1,1977,2,Service Packs,Electric Wire
1154-1,1986,1,Service Packs,Battery Control Unit
1160-1,1985,2,Service Packs,"TECHNIC Pneumatic Tubing, 40cm +100cm"
116-1,1967,364,Train,Starter Train Set with Motor
1161-1,1985,1,Service Packs,TECHNIC Pneumatic Pump Cylinder 48mm
116-2,1968,361,Train,Deluxe Motorized Train Set
1162-1,1985,1,Service Packs,TECHNIC Pneumatic Piston Cylinder 48mm
1163-1,1985,1,Service Packs,TECHNIC Pneumatic Piston Cylinder 60mm
1164-1,1985,2,Service Packs,TECHNIC Pneumatic 2 Way Valve and Nonreturn Valve
1168-1,1986,1,Technic,Battery Box
1169-1,1986,2,Service Packs,Bogie Plates
